2023.11.10 12:57:49 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Checks executed after computation of measures | status=SUCCESS | time=1ms
2023.11.10 12:57:49 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Compute Quality Gate measures | status=SUCCESS | time=7ms
2023.11.10 12:57:49 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Compute Quality profile measures | status=SUCCESS | time=6ms
2023.11.10 12:57:49 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Generate Quality profile events | status=SUCCESS | time=5ms
2023.11.10 12:57:49 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Generate Quality gate events | status=SUCCESS | time=4ms
2023.11.10 12:57:49 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist components | status=SUCCESS | time=97ms
2023.11.10 12:57:49 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist analysis | status=SUCCESS | time=5ms
2023.11.10 12:57:49 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist analysis properties | status=SUCCESS | time=1ms
2023.11.10 12:57:49 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist measures | inserts=103 | status=SUCCESS | time=12ms
2023.11.10 12:57:57 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist live measures | insertsOrUpdates=157627 | status=SUCCESS | time=7836ms
2023.11.10 12:57:58 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist duplication data | insertsOrUpdates=909 | status=SUCCESS | time=830ms
2023.11.10 12:57:58 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist new ad hoc Rules | status=SUCCESS | time=1ms
2023.11.10 12:58:18 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist issues | inserts=0 | updates=1192 | merged=0 | untouched=31926 | status=SUCCESS | time=19656ms
2023.11.10 12:58:18 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist project links | status=SUCCESS | time=4ms
2023.11.10 12:58:18 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist events | status=SUCCESS | time=4ms
2023.11.10 12:58:21 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist sources | status=SUCCESS | time=3560ms
2023.11.10 12:58:21 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Persist cross project duplications | status=SUCCESS | time=0ms
2023.11.10 12:58:21 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Enable analysis | status=SUCCESS | time=10ms
2023.11.10 12:58:21 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Update last usage date of quality profiles | status=SUCCESS | time=4ms
2023.11.10 12:58:22 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Purge db | status=SUCCESS | time=351ms
2023.11.10 12:58:29 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Index analysis | status=SUCCESS | time=7401ms
2023.11.10 12:58:29 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Send issue notifications | newIssuesNotifs=0 | newIssuesDeliveries=0 | myNewIssuesNotifs=0 | myNewIssuesDeliveries=0 | changesNotifs=0 | changesDeliveries=0 | status=SUCCESS | time=2ms
2023.11.10 12:58:29 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Publish task results | status=SUCCESS | time=0ms
2023.11.10 12:58:29 INFO  ce[AYu5TyIloHkafef8rVWw][o.s.c.t.s.ComputationStepExecutor] Trigger refresh of Portfolios and Applications | status=SUCCESS | time=0ms
